표준코드,단축코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
"KR7272230004","272230","한국투자 ACE 스마트밸류증권상장지수투자신탁(주식)","ACE 스마트밸류","KIM ACE Smart Value ETF","2017/07/11","FnGuide 스마트 밸류 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","900000","한국투자신탁운용","100000","0.190","비과세"
"KR7322120007","322120","한국투자 ACE 스마트퀄리티증권상장지수투자신탁(주식)","ACE 스마트퀄리티","KIM ACE Smart Quality ETF","2019/04/16","FnGuide 스마트 퀄리티 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","500000","한국투자신탁운용","100000","0.190","비과세"
"KR7322150004","322150","한국투자 ACE 스마트하이베타증권상장지수투자신탁(주식)","ACE 스마트하이베타","KIM ACE Smart High Beta ETF","2019/04/16","FnGuide 스마트 하이베타 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","600000","한국투자신탁운용","100000","0.190","비과세"
"KR7316300003","316300","한국투자 ACE 싱가포르리츠부동산상장지수투자신탁(재간접형)","ACE 싱가포르리츠","KIM ACE Singapore REITs ETF","2019/01/29","Morningstar Singapore REIT Yield Focus Index(PR)","MorningStar","일반 (1)","실물(패시브)","해외","부동산","700000","한국투자신탁운용","100000","0.400","배당소득세(분리과세부동산ETF)"
"KR7433500006","433500","한국투자 ACE 원자력테마딥서치증권상장지수투자신탁(주식)","ACE 원자력테마딥서치","KIM ACE Nuclear Power Theme ETF","2022/06/28","DeepSearch 원자력테마 지수 (시장가격지수)","DeepSearch","일반 (1)","실물(패시브)","국내","주식","1300000","한국투자신탁운용","100000","0.300","비과세"
"KR7256440009","256440","한국투자 ACE 인도네시아MSCI증권상장지수투자신탁(주식-파생형)(합성)","ACE 인도네시아MSCI(합성)","KIM ACE MSCI Indonesia ETF(Synth)","2016/11/01","MSCI Indonesia Index","MSCI","일반 (1)","합성(패시브)","해외","주식","3800000","한국투자신탁운용","100000","0.700","배당소득세(보유기간과세)"
"KR7145670006","145670","한국투자 ACE 인버스 증권 상장지수투자신탁(주식-파생형)","ACE 인버스","KIM ACE INVERSE ETF","2011/09/08","코스피 200 선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","주식","700000","한국투자신탁운용","100000","0.150","배당소득세(보유기간과세)"
"KR7196030001","196030","한국투자 ACE 일본 레버리지 증권 상장지수투자신탁(주식-재간접파생형)(H)","ACE 일본TOPIX레버리지(H)","KIM ACE Japan Leverage ETF(H)","2014/06/16","TOPIX","TSE(Tokyo Stock Exchange)","2X 레버리지 (2)","실물(패시브)","해외","주식","500000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7238720007","238720","한국투자 ACE 일본Nikkei225증권상장지수투자신탁(주식-파생형)(H)","ACE 일본Nikkei225(H)","KIM ACE Japan Nikkei225 ETF(H)","2016/03/03","Nikkei 225","Nikkei","일반 (1)","실물(패시브)","해외","주식","700000","한국투자신탁운용","100000","0.300","배당소득세(해외주식투자전용ETF)"
"KR7205720006","205720","한국투자 ACE 일본인버스 증권 상장지수투자신탁(주식-파생형)(합성 H)","ACE 일본TOPIX인버스(합성 H)","KIM ACE SYNTH-Japan Inverse ETF(H)","2014/09/29","TOPIX","TSE(Tokyo Stock Exchange)","1X 인버스 (-1)","합성(패시브)","해외","주식","1700000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7416090009","416090","한국투자 ACE 중국과창판STAR50증권상장지수투자신탁(주식)","ACE 중국과창판STAR50","KIM ACE China STAR50 ETF","2022/01/13","STAR 50 Index(Price Return)","CSI","일반 (1)","실물(패시브)","해외","주식","1000000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7168580009","168580","한국투자 ACE 중국본토 CSI300 증권 자상장지수투자신탁(주식-파생형)","ACE 중국본토CSI300","KIM ACE China Main Land CSI300 Feeder ETF","2012/11/29","CSI 300 Index","CSI","일반 (1)","실물(패시브)","해외","주식","6320000","한국투자신탁운용","20000","0.700","배당소득세(해외주식투자전용ETF)"
"KR7219900008","219900","한국투자 ACE 중국본토레버리지CSI300증권상장지수투자신탁(주식혼합-파생형)(합성)","ACE 중국본토CSI300레버리지(합성)","KIM ACE SYNTH-China Main Land Leverage CSI300 ETF","2015/05/28","CSI 300 Index","CSI","2X 레버리지 (2)","합성(패시브)","해외","주식","2300000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7272910001","272910","한국투자 ACE 중장기국공채액티브증권상장지수투자신탁(채권)","ACE 중장기국공채액티브","KIM ACE Active Korea Treasury & Agency Bonds ETF","2017/06/29","KIS 종합채권국공채1-10Y지수","KIS 채권평가","일반 (1)","실물(액티브)","국내","채권","88000","한국투자신탁운용","1000","0.080","배당소득세(보유기간과세)"
